# 2026 24 Hours of Le Mans — 62-car official grid + 6 reserve Hypercar entries
# Official: 18 Hypercar / 19 LMP2 / 25 LMGT3. Reserve: Porsche, Lamborghini, Acura, McLaren, Ford.
# Sources: motorsport.com, 24h-lemans.com, manufacturer technical data (June 2026)
# entry=team_name,car_config_path,class_id,grid,car_number

# Hypercar — 18 cars
entry=007 Aston Martin Thor Team,configs/cars/lemans2026/aston_martin_valkyrie.txt,Hypercar,1,007
entry=009 Aston Martin Thor Team,configs/cars/lemans2026/aston_martin_valkyrie.txt,Hypercar,2,009
entry=Toyota Racing,configs/cars/lemans2026/toyota_gr010.txt,Hypercar,3,7
entry=Toyota Racing,configs/cars/lemans2026/toyota_gr010.txt,Hypercar,4,8
entry=Cadillac Hertz Team JOTA,configs/cars/lemans2026/cadillac_v_series_r.txt,Hypercar,5,12
entry=BMW M Team WRT,configs/cars/lemans2026/bmw_m_hybrid_v8.txt,Hypercar,6,15
entry=Genesis Magma Racing,configs/cars/lemans2026/genesis_gmr001.txt,Hypercar,7,17
entry=Genesis Magma Racing,configs/cars/lemans2026/genesis_gmr001.txt,Hypercar,8,19
entry=BMW M Team WRT,configs/cars/lemans2026/bmw_m_hybrid_v8.txt,Hypercar,9,20
entry=Alpine Endurance Team,configs/cars/lemans2026/alpine_a424.txt,Hypercar,10,35
entry=Alpine Endurance Team,configs/cars/lemans2026/alpine_a424.txt,Hypercar,11,36
entry=Cadillac Hertz Team JOTA,configs/cars/lemans2026/cadillac_v_series_r.txt,Hypercar,12,38
entry=Ferrari AF Corse,configs/cars/lemans2026/ferrari_499p.txt,Hypercar,13,50
entry=Ferrari AF Corse,configs/cars/lemans2026/ferrari_499p.txt,Hypercar,14,51
entry=AF Corse,configs/cars/lemans2026/ferrari_499p.txt,Hypercar,15,83
entry=Peugeot TotalEnergies,configs/cars/lemans2026/peugeot_9x8.txt,Hypercar,16,93
entry=Peugeot TotalEnergies,configs/cars/lemans2026/peugeot_9x8.txt,Hypercar,17,94
entry=Cadillac WTR,configs/cars/lemans2026/cadillac_v_series_r.txt,Hypercar,18,101

# LMP2 — 19 cars (Oreca 07-Gibson)
entry=DKR Engineering,configs/cars/lemans2026/oreca_07_gibson.txt,LMP2,19,3
entry=Crowdstrike Racing by APR,configs/cars/lemans2026/oreca_07_gibson.txt,LMP2,20,4
entry=Proton Competition,configs/cars/lemans2026/oreca_07_gibson.txt,LMP2,21,9
entry=TDS Racing,configs/cars/lemans2026/oreca_07_gibson.txt,LMP2,22,14
entry=United Autosports,configs/cars/lemans2026/oreca_07_gibson.txt,LMP2,23,22
entry=Nielsen Racing,configs/cars/lemans2026/oreca_07_gibson.txt,LMP2,24,24
entry=Algarve Pro Racing,configs/cars/lemans2026/oreca_07_gibson.txt,LMP2,25,25
entry=Vector Sport,configs/cars/lemans2026/oreca_07_gibson.txt,LMP2,26,26
entry=IDEC Sport,configs/cars/lemans2026/oreca_07_gibson.txt,LMP2,27,28
entry=Forestier Racing by Panis,configs/cars/lemans2026/oreca_07_gibson.txt,LMP2,28,29
entry=Duqueine Team,configs/cars/lemans2026/oreca_07_gibson.txt,LMP2,29,30
entry=CLX Motorsport,configs/cars/lemans2026/oreca_07_gibson.txt,LMP2,30,37
